type,year,value
DaysCO,1980,0
DaysCO,1981,2
DaysCO,1982,8
DaysCO,1983,7
DaysCO,1984,4
DaysCO,1985,2
DaysCO,1986,1
DaysCO,1987,1
DaysCO,1988,1
DaysCO,1989,6
DaysCO,1990,1
DaysCO,1991,2
DaysCO,1992,2
DaysCO,1993,2
DaysCO,1994,10
DaysCO,1995,2
DaysCO,1996,0
DaysCO,1997,0
DaysCO,1998,3
DaysCO,1999,0
DaysCO,2000,0
DaysCO,2001,0
DaysCO,2002,0
DaysCO,2003,0
DaysCO,2004,0
DaysCO,2005,0
DaysCO,2006,1
DaysCO,2007,0
DaysCO,2008,0
DaysCO,2009,0
DaysCO,2010,0
DaysCO,2011,1
DaysCO,2012,0
DaysCO,2013,0
DaysCO,2014,0
DaysCO,2015,0
DaysCO,2016,0
DaysCO,2017,0
DaysCO,2018,0
DaysCO,2019,0
DaysCO,2020,0
DaysCO,2021,0
DaysNO2,1980,106
DaysNO2,1981,61
DaysNO2,1982,65
DaysNO2,1983,92
DaysNO2,1984,64
DaysNO2,1985,34
DaysNO2,1986,41
DaysNO2,1987,69
DaysNO2,1988,86
DaysNO2,1989,70
DaysNO2,1990,78
DaysNO2,1991,19
DaysNO2,1992,96
DaysNO2,1993,75
DaysNO2,1994,108
DaysNO2,1995,141
DaysNO2,1996,135
DaysNO2,1997,149
DaysNO2,1998,132
DaysNO2,1999,34
DaysNO2,2000,22
DaysNO2,2001,17
DaysNO2,2002,16
DaysNO2,2003,29
DaysNO2,2004,31
DaysNO2,2005,95
DaysNO2,2006,82
DaysNO2,2007,35
DaysNO2,2008,35
DaysNO2,2009,10
DaysNO2,2010,2
DaysNO2,2011,6
DaysNO2,2012,0
DaysNO2,2013,2
DaysNO2,2014,31
DaysNO2,2015,46
DaysNO2,2016,34
DaysNO2,2017,20
DaysNO2,2018,23
DaysNO2,2019,7
DaysNO2,2020,14
DaysNO2,2021,9
DaysOzone,1980,94
DaysOzone,1981,51
DaysOzone,1982,59
DaysOzone,1983,77
DaysOzone,1984,43
DaysOzone,1985,36
DaysOzone,1986,61
DaysOzone,1987,83
DaysOzone,1988,86
DaysOzone,1989,72
DaysOzone,1990,48
DaysOzone,1991,30
DaysOzone,1992,49
DaysOzone,1993,57
DaysOzone,1994,84
DaysOzone,1995,129
DaysOzone,1996,84
DaysOzone,1997,77
DaysOzone,1998,104
DaysOzone,1999,91
DaysOzone,2000,55
DaysOzone,2001,87
DaysOzone,2002,84
DaysOzone,2003,63
DaysOzone,2004,63
DaysOzone,2005,120
DaysOzone,2006,130
DaysOzone,2007,142
DaysOzone,2008,182
DaysOzone,2009,93
DaysOzone,2010,94
DaysOzone,2011,130
DaysOzone,2012,112
DaysOzone,2013,84
DaysOzone,2014,70
DaysOzone,2015,129
DaysOzone,2016,147
DaysOzone,2017,138
DaysOzone,2018,126
DaysOzone,2019,152
DaysOzone,2020,123
DaysOzone,2021,137
DaysPM25,1980,166
DaysPM25,1981,251
DaysPM25,1982,233
DaysPM25,1983,189
DaysPM25,1984,255
DaysPM25,1985,293
DaysPM25,1986,259
DaysPM25,1987,211
DaysPM25,1988,192
DaysPM25,1989,192
DaysPM25,1990,230
DaysPM25,1991,310
DaysPM25,1992,206
DaysPM25,1993,220
DaysPM25,1994,154
DaysPM25,1995,76
DaysPM25,1996,132
DaysPM25,1997,132
DaysPM25,1998,123
DaysPM25,1999,58
DaysPM25,2000,68
DaysPM25,2001,72
DaysPM25,2002,76
DaysPM25,2003,59
DaysPM25,2004,99
DaysPM25,2005,76
DaysPM25,2006,77
DaysPM25,2007,44
DaysPM25,2008,27
DaysPM25,2009,6
DaysPM25,2010,9
DaysPM25,2011,54
DaysPM25,2012,40
DaysPM25,2013,30
DaysPM25,2014,33
DaysPM25,2015,7
DaysPM25,2016,0
DaysPM25,2017,0
DaysPM25,2018,0
DaysPM25,2019,0
DaysPM25,2020,2
DaysPM25,2021,3
DaysPM10,1980,0
DaysPM10,1981,0
DaysPM10,1982,0
DaysPM10,1983,0
DaysPM10,1984,0
DaysPM10,1985,0
DaysPM10,1986,0
DaysPM10,1987,0
DaysPM10,1988,0
DaysPM10,1989,0
DaysPM10,1990,0
DaysPM10,1991,0
DaysPM10,1992,0
DaysPM10,1993,0
DaysPM10,1994,0
DaysPM10,1995,0
DaysPM10,1996,0
DaysPM10,1997,0
DaysPM10,1998,0
DaysPM10,1999,182
DaysPM10,2000,221
DaysPM10,2001,189
DaysPM10,2002,189
DaysPM10,2003,214
DaysPM10,2004,173
DaysPM10,2005,74
DaysPM10,2006,73
DaysPM10,2007,144
DaysPM10,2008,122
DaysPM10,2009,255
DaysPM10,2010,260
DaysPM10,2011,173
DaysPM10,2012,214
DaysPM10,2013,249
DaysPM10,2014,231
DaysPM10,2015,183
DaysPM10,2016,185
DaysPM10,2017,207
DaysPM10,2018,216
DaysPM10,2019,206
DaysPM10,2020,227
DaysPM10,2021,155
