date,MaxAQI,NintyPercentAQI,MedianAQI
1980-01-01,223,154,93
1981-01-01,200,149,100
1982-01-01,218,156,100
1983-01-01,227,161,107
1984-01-01,202,146,100
1985-01-01,210,139,105
1986-01-01,205,140,101
1987-01-01,236,153,89
1988-01-01,222,161,79
1989-01-01,205,137,75
1990-01-01,209,139,85
1991-01-01,219,195,122
1992-01-01,200,126,64
1993-01-01,197,129,67
1994-01-01,192,123,56
1995-01-01,216,114,49
1996-01-01,187,122,58
1997-01-01,200,125,56
1998-01-01,203,119,62
1999-01-01,209,115,71
2000-01-01,187,113,68
2001-01-01,200,123,70
2002-01-01,213,131,65
2003-01-01,197,109,64
2004-01-01,166,111,65
2005-01-01,208,126,60
2006-01-01,182,104,52
2007-01-01,187,120,61
2008-01-01,169,101,52
2009-01-01,133,79,53
2010-01-01,172,97,68
2011-01-01,179,108,57
2012-01-01,182,100,58
2013-01-01,116,78,56
2014-01-01,143,85,57
2015-01-01,151,77,50
2016-01-01,140,74,49
2017-01-01,129,70,50
2018-01-01,159,74,51
2019-01-01,119,77,52
2020-01-01,126,70,48
2021-01-01,140,77,48
